nodenumber,    x-coordinate,    y-coordinate,    x-coordinate,    y-coordinate,  turb-diss-rate,turb-kinetic-energy,      x-velocity,      y-velocity,        pressure
        72, 9.931627106E-02, 0.000000000E+00, 9.931627106E-02, 0.000000000E+00, 3.544892587E-07, 1.676153061E-10, 0.000000000E+00, 0.000000000E+00, 1.282714496E-01
        73, 9.995293921E-02, 0.000000000E+00, 9.995293921E-02, 0.000000000E+00, 3.469079200E-07, 1.640268454E-10, 0.000000000E+00, 0.000000000E+00, 1.312762882E-01
        74, 1.005896074E-01, 0.000000000E+00, 1.005896074E-01, 0.000000000E+00, 3.357036077E-07, 1.587245720E-10, 0.000000000E+00, 0.000000000E+00, 1.343545063E-01
        75, 1.012262755E-01, 0.000000000E+00, 1.012262755E-01, 0.000000000E+00, 3.523949185E-07, 1.666116124E-10, 0.000000000E+00, 0.000000000E+00, 1.375540850E-01
        76, 1.018629436E-01, 0.000000000E+00, 1.018629436E-01, 0.000000000E+00, 3.755098125E-07, 1.775363325E-10, 0.000000000E+00, 0.000000000E+00, 1.408130416E-01
        77, 1.024996118E-01, 0.000000000E+00, 1.024996118E-01, 0.000000000E+00, 3.818078941E-07, 1.805123596E-10, 0.000000000E+00, 0.000000000E+00, 1.440829512E-01
        78, 1.031362799E-01, 0.000000000E+00, 1.031362799E-01, 0.000000000E+00, 3.848994126E-07, 1.819746475E-10, 0.000000000E+00, 0.000000000E+00, 1.473528333E-01
        79, 1.037729481E-01, 0.000000000E+00, 1.037729481E-01, 0.000000000E+00, 3.844441309E-07, 1.817609091E-10, 0.000000000E+00, 0.000000000E+00, 1.505850674E-01
        80, 1.044096162E-01, 0.000000000E+00, 1.044096162E-01, 0.000000000E+00, 3.862833172E-07, 1.826278356E-10, 0.000000000E+00, 0.000000000E+00, 1.538101352E-01
        81, 1.050462844E-01, 0.000000000E+00, 1.050462844E-01, 0.000000000E+00, 4.093905837E-07, 1.935462703E-10, 0.000000000E+00, 0.000000000E+00, 1.571680318E-01
        82, 1.056829525E-01, 0.000000000E+00, 1.056829525E-01, 0.000000000E+00, 4.335060134E-07, 2.049443662E-10, 0.000000000E+00, 0.000000000E+00, 1.606027023E-01
        83, 1.063196207E-01, 0.000000000E+00, 1.063196207E-01, 0.000000000E+00, 4.440531490E-07, 2.099305945E-10, 0.000000000E+00, 0.000000000E+00, 1.640231112E-01
        84, 1.069562888E-01, 0.000000000E+00, 1.069562888E-01, 0.000000000E+00, 4.519050930E-07, 2.136416014E-10, 0.000000000E+00, 0.000000000E+00, 1.674269724E-01
        85, 1.075929570E-01, 0.000000000E+00, 1.075929570E-01, 0.000000000E+00, 4.505311278E-07, 2.129906603E-10, 0.000000000E+00, 0.000000000E+00, 1.708301269E-01
        86, 1.082296251E-01, 0.000000000E+00, 1.082296251E-01, 0.000000000E+00, 4.465443926E-07, 2.111052178E-10, 0.000000000E+00, 0.000000000E+00, 1.742300118E-01
        87, 1.088662933E-01, 0.000000000E+00, 1.088662933E-01, 0.000000000E+00, 4.504612429E-07, 2.129540311E-10, 0.000000000E+00, 0.000000000E+00, 1.776690786E-01
        88, 1.095029614E-01, 0.000000000E+00, 1.095029614E-01, 0.000000000E+00, 4.843322136E-07, 2.289618264E-10, 0.000000000E+00, 0.000000000E+00, 1.812408944E-01
        89, 1.101396295E-01, 0.000000000E+00, 1.101396295E-01, 0.000000000E+00, 5.239004427E-07, 2.476658997E-10, 0.000000000E+00, 0.000000000E+00, 1.848794699E-01
        90, 1.107762977E-01, 0.000000000E+00, 1.107762977E-01, 0.000000000E+00, 5.441834992E-07, 2.572637305E-10, 0.000000000E+00, 0.000000000E+00, 1.885301966E-01
        91, 1.114129658E-01, 0.000000000E+00, 1.114129658E-01, 0.000000000E+00, 5.552629965E-07, 2.625121654E-10, 0.000000000E+00, 0.000000000E+00, 1.920050158E-01
        92, 1.120496340E-01, 0.000000000E+00, 1.120496340E-01, 0.000000000E+00, 5.268319231E-07, 2.490664966E-10, 0.000000000E+00, 0.000000000E+00, 1.953670335E-01
        93, 1.126863021E-01, 0.000000000E+00, 1.126863021E-01, 0.000000000E+00, 5.267188103E-07, 2.490031996E-10, 0.000000000E+00, 0.000000000E+00, 1.989472575E-01
        94, 1.133229703E-01, 0.000000000E+00, 1.133229703E-01, 0.000000000E+00, 5.661431890E-07, 2.676398681E-10, 0.000000000E+00, 0.000000000E+00, 2.026574796E-01
        95, 1.139596384E-01, 0.000000000E+00, 1.139596384E-01, 0.000000000E+00, 5.892485858E-07, 2.785692159E-10, 0.000000000E+00, 0.000000000E+00, 2.063729690E-01
        96, 1.145963066E-01, 0.000000000E+00, 1.145963066E-01, 0.000000000E+00, 6.048401966E-07, 2.859502248E-10, 0.000000000E+00, 0.000000000E+00, 2.100163844E-01
        97, 1.152329747E-01, 0.000000000E+00, 1.152329747E-01, 0.000000000E+00, 5.791325439E-07, 2.738010708E-10, 0.000000000E+00, 0.000000000E+00, 2.135190365E-01
        98, 1.158696429E-01, 0.000000000E+00, 1.158696429E-01, 0.000000000E+00, 5.298739384E-07, 2.505075737E-10, 0.000000000E+00, 0.000000000E+00, 2.170233543E-01
        99, 1.165063110E-01, 0.000000000E+00, 1.165063110E-01, 0.000000000E+00, 5.201208242E-07, 2.458885980E-10, 0.000000000E+00, 0.000000000E+00, 2.206175645E-01
       100, 1.171429791E-01, 0.000000000E+00, 1.171429791E-01, 0.000000000E+00, 4.994507690E-07, 2.361093602E-10, 0.000000000E+00, 0.000000000E+00, 2.241773497E-01
       101, 1.177796473E-01, 0.000000000E+00, 1.177796473E-01, 0.000000000E+00, 4.311717557E-07, 2.038187846E-10, 0.000000000E+00, 0.000000000E+00, 2.277250672E-01
       102, 1.184163154E-01, 0.000000000E+00, 1.184163154E-01, 0.000000000E+00, 3.822576450E-07, 1.806882641E-10, 0.000000000E+00, 0.000000000E+00, 2.315062548E-01
       103, 1.190529836E-01, 0.000000000E+00, 1.190529836E-01, 0.000000000E+00, 4.051929397E-07, 1.915360113E-10, 0.000000000E+00, 0.000000000E+00, 2.354735634E-01
       104, 1.196896517E-01, 0.000000000E+00, 1.196896517E-01, 0.000000000E+00, 4.741824397E-07, 2.241579634E-10, 0.000000000E+00, 0.000000000E+00, 2.394561761E-01
       105, 1.203263199E-01, 0.000000000E+00, 1.203263199E-01, 0.000000000E+00, 5.304776570E-07, 2.507833590E-10, 0.000000000E+00, 0.000000000E+00, 2.434090792E-01
       106, 1.209629880E-01, 0.000000000E+00, 1.209629880E-01, 0.000000000E+00, 5.683165084E-07, 2.686876234E-10, 0.000000000E+00, 0.000000000E+00, 2.472293448E-01
       107, 1.215996562E-01, 0.000000000E+00, 1.215996562E-01, 0.000000000E+00, 5.904961068E-07, 2.791822381E-10, 0.000000000E+00, 0.000000000E+00, 2.509795642E-01
       108, 1.222363243E-01, 0.000000000E+00, 1.222363243E-01, 0.000000000E+00, 6.008709316E-07, 2.840922683E-10, 0.000000000E+00, 0.000000000E+00, 2.547668329E-01
       109, 1.228729925E-01, 0.000000000E+00, 1.228729925E-01, 0.000000000E+00, 6.069660753E-07, 2.869829057E-10, 0.000000000E+00, 0.000000000E+00, 2.585394135E-01
       110, 1.235096606E-01, 0.000000000E+00, 1.235096606E-01, 0.000000000E+00, 5.967156141E-07, 2.821449509E-10, 0.000000000E+00, 0.000000000E+00, 2.622285428E-01
